Job Title,Salary,Experience,Department,Location,Education
Software Engineer,95000,3,Engineering,San Francisco,Bachelor's
Data Scientist,105000,4,Analytics,New York,Master's
Product Manager,110000,5,Product,San Francisco,MBA
Senior Engineer,130000,7,Engineering,Seattle,Bachelor's
ML Engineer,120000,5,Engineering,San Francisco,Master's
Data Analyst,75000,2,Analytics,Austin,Bachelor's
DevOps Engineer,100000,4,Engineering,Seattle,Bachelor's
UX Designer,85000,3,Design,New York,Bachelor's
Frontend Developer,90000,3,Engineering,Austin,Bachelor's
Backend Developer,95000,4,Engineering,San Francisco,Bachelor's
Project Manager,95000,6,Product,New York,MBA
QA Engineer,80000,3,Engineering,Austin,Bachelor's
Data Engineer,110000,5,Engineering,Seattle,Master's
Research Scientist,125000,6,Research,San Francisco,PhD
Technical Writer,70000,2,Documentation,Remote,Bachelor's
Junior Developer,65000,1,Engineering,Austin,Bachelor's
Senior Data Scientist,140000,8,Analytics,New York,PhD
Engineering Manager,150000,10,Engineering,San Francisco,Master's
VP Engineering,200000,15,Engineering,San Francisco,MBA
Intern,45000,0,Engineering,San Francisco,Bachelor's
Solutions Architect,135000,8,Engineering,Seattle,Master's
Security Engineer,115000,5,Engineering,New York,Bachelor's
Mobile Developer,92000,3,Engineering,Austin,Bachelor's
Full Stack Developer,98000,4,Engineering,San Francisco,Bachelor's
Business Analyst,78000,3,Analytics,New York,Bachelor's
